epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,110.162,0.45829,0.97329,1,0.09859,0.000416102,0.000416102,0.000416102
2,233.194,0.18991,0.97507,1,0.08587,0.000805287,0.000805287,0.000805287
3,346.419,0.16562,0.97774,1,0.07102,0.00116697,0.00116697,0.00116697
4,453.003,0.16352,0.9715,1,0.09548,0.00112625,0.00112625,0.00112625
5,545.15,0.12587,0.98664,1,0.05352,0.001085,0.001085,0.001085
6,639.391,0.10073,0.97952,1,0.05558,0.00104375,0.00104375,0.00104375
7,744.308,0.09746,0.97596,1,0.08253,0.0010025,0.0010025,0.0010025
8,889.442,0.09341,0.98308,1,0.05096,0.00096125,0.00096125,0.00096125
9,1029.16,0.07793,0.98842,1,0.03827,0.00092,0.00092,0.00092
10,1147.29,0.07682,0.98575,1,0.05,0.00087875,0.00087875,0.00087875
11,1246.12,0.06142,0.98664,1,0.05352,0.0008375,0.0008375,0.0008375
12,1355.91,0.06318,0.98575,1,0.06555,0.00079625,0.00079625,0.00079625
13,1466.45,0.06245,0.98486,1,0.05345,0.000755,0.000755,0.000755
14,1575.03,0.05938,0.97863,1,0.06545,0.00071375,0.00071375,0.00071375
15,1685.75,0.04807,0.98664,1,0.04381,0.0006725,0.0006725,0.0006725
16,1793.65,0.05008,0.98486,1,0.06564,0.00063125,0.00063125,0.00063125
17,1903.71,0.04679,0.98397,1,0.06028,0.00059,0.00059,0.00059
18,2015.26,0.04161,0.98575,1,0.06308,0.00054875,0.00054875,0.00054875
19,2125.3,0.04087,0.98664,1,0.04816,0.0005075,0.0005075,0.0005075
20,2232.22,0.03658,0.98664,1,0.0635,0.00046625,0.00046625,0.00046625
21,2343.08,0.03346,0.98664,1,0.05222,0.000425,0.000425,0.000425
22,2453.05,0.02861,0.98931,1,0.06245,0.00038375,0.00038375,0.00038375
23,2564.13,0.03335,0.98575,1,0.04906,0.0003425,0.0003425,0.0003425
24,2676.19,0.02816,0.98753,1,0.04935,0.00030125,0.00030125,0.00030125
25,2787.12,0.02628,0.98575,1,0.06458,0.00026,0.00026,0.00026
26,2895.59,0.02922,0.98575,1,0.0642,0.00021875,0.00021875,0.00021875
27,3007.55,0.02676,0.98575,1,0.05253,0.0001775,0.0001775,0.0001775
28,3120.11,0.02692,0.98575,1,0.05848,0.00013625,0.00013625,0.00013625
29,3232.17,0.0232,0.98575,1,0.05547,9.5e-05,9.5e-05,9.5e-05
30,3340.96,0.02583,0.98753,1,0.05494,5.375e-05,5.375e-05,5.375e-05
